文本,文本1,文本2,文本3,文本4,文本5,文本6,文本7,文本8,文本9,文本10,文本11,文本12,文本13,文本14,文本15,文本16,文本17,文本18,文本19,文本20,文本21,文本22,字段1,字段2,文本23,文本24,文本25,文本26,文本27,文本28,文本29,文本30,文本31,文本32,文本33,文本34,文本35,文本36,文本37,文本38,文本39,文本40,文本41,文本42,文本43,文本44,文本45,文本46,文本47,字段3,标题
"Abstract

Failure of the blue revolution is a global risk. The international problem is that there is a gap in knowledge exchange between the aquaculture industry, policy makers trying to support aquaculture development and people who depend on aquaculture for a job and/or food source. Thus, governments and international organizations promoting aquaculture as the solution to improving food security, nutrition and income are failing to optimise production of natural aquatic resources.

We identify a “people–policy gap”, and suggest that this is an understudied constraint, which needs to be overcome before worldwide food security can be achieved from aquatic environments. We argue that this gap leads to uneven distribution of benefits, a disconnection between benefits and local needs, and detrimental effects on human health and food security, all of which can have negative repercussions on human communities and ecosystems. In order to address this need, we present an analytical framework to guide context specific, policy-relevant assessments of the social, economic and ecological dimensions of aquaculture on a case-by-case basis. The framework is designed to make best use of existing data and scientific tools for decision-making.

In conclusion, we argue for: equal consideration of ecological, social and economic issues in aquaculture policy-making; pre-emptive identification of likely social impacts; integration of people- and context-specific social framing conditions into planning and policy review; addressing the social disconnection between global consumption and production; and, encouragement of creative combinations of theories and methods to assess and interpret the social dimensions of aquaculture in multiple contexts.",,,,"Occupational noise is commonly encountered during aquaculture. This study documented noise levels in two buildings at a production fish hatchery, a tank room with 32, 1.8-m diameter tanks, and a rearing pavilion with 32, 6.1-m diameter tanks. With water flowing to all of the tanks in the tank room, mean noise levels were 68.4 dB, and significantly increased to 73.0 dB during tank cleaning and 73.2 dB when intermittent automatic feeders were running. The highest tank room values of 77.1 dB were recorded directly next to individual tanks during cleaning. With water flowing to all of the tanks in the rearing pavilion, mean noise levels were 70.2 dB. A significant increase to 76.1 dB was observed when the pavilion tanks were being power washed, with the highest value of 83.2 dB recorded immediately adjacent to the power washer. Although none of the noise levels exceeded regulatory limits, the use of techniques to reduce occupational noise in aquaculture environments is recommended.",,,,,,,,,,,,,,,,,,,,,,,,,,Occupational Noise Levels in Two Fish Rearing Buildings at an Aquaculture Facility,,,,,,,,,,,,,,,,,,,,,
"Abstract

To foster future research directions and propose feasible adaptive management strategies, the factors affecting job satisfaction were examined in Akkeshi and Erimo, two local fishing communities in northeast Hokkaido, Japan, using historical fisheries data and semi–structured questionnaires. Fishers in Akkeshi practice mixed fisheries (capture and aquaculture), whereas in Erimo fishers specialize in capture fisheries. The target species for fisheries and aquaculture are kelp (Laminaria angustata), chum salmon (Oncorhynchus keta) and oysters (Crassostrea gigas) in Akkeshi, and kelp and chum salmon in Erimo. The fishers in both areas were moderately satisfied with their jobs, but fishers in Erimo were more satisfied than those in Akkeshi. Satisfaction was directly associated with household size in Akkeshi and Erimo, and was high for fishers practicing oyster aquaculture in Akkeshi. Most fishers (79% in Akkeshi and 84% in Erimo) were unaware of any future target species if the current species declined or went extinct. About 14% of the respondents in Akkeshi mentioned oyster farming as their best alternative in the future. Differences in job satisfaction between the two areas may be attributed to disparities in socio–economic factors and fishery types among fishers. Further comprehensive studies that include allocation of fishing effort among different species, and impacts of climate variability and anthropogenic factors on the resources are required.",,,,,,,,,,,,,,,,,,,,,,,,,"Comparative job satisfaction of fishers in northeast Hokkaido, Japan for coastal fisheries management and aquaculture development",,,,,,,,,,,,,,,,,,,,,,,,,,
"Abstract

While neoliberalism is often framed as a withdrawal of the state, many scholars have noted that what is occurring is not so much a withdrawal, as a repositioning. Although many social services and regulatory functions once provided by government agencies have indeed been eroded, there has been a simultaneous channeling of new resources into other arenas, in an effort to create conditions in which private corporations can operate more profitably. This, however, often places the state in a contradictory position, simultaneously serving as regulator, investor, and development advocate for the private sector. This can become especially problematic in moments of ecological crisis when decisive and unbiased responses are needed. This paper explores these dynamics through an examination of the cycles of growth and crisis that have characterized the aquaculture industry on the south coast of Newfoundland since the late 1970s as well as the ongoing attempts by aquaculture advocates to characterize industrial-scale fish farming as a sustainable industry, despite evidence to the contrary.",,,,,,,,,,,,,,,,,,,,,,,,,Industrial aquaculture and the politics of resignation,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abstract

While neoliberalism is often framed as a withdrawal of the state, many scholars have noted that what is occurring is not so much a withdrawal, as a repositioning. Although many social services and regulatory functions once provided by government agencies have indeed been eroded, there has been a simultaneous channeling of new resources into other arenas, in an effort to create conditions in which private corporations can operate more profitably. This, however, often places the state in a contradictory position, simultaneously serving as regulator, investor, and development advocate for the private sector. This can become especially problematic in moments of ecological crisis when decisive and unbiased responses are needed. This paper explores these dynamics through an examination of the cycles of growth and crisis that have characterized the aquaculture industry on the south coast of Newfoundland since the late 1970s as well as the ongoing attempts by aquaculture advocates to characterize industrial-scale fish farming as a sustainable industry, despite evidence to the contrary.",,,,,"Farming of Atlantic salmon in exposed areas poses unique challenges to operations, structures and equipment due to severe and irregular wind, wave and current conditions, and sheer remoteness. Many of the operational challenges seen at present sheltered sites are likely to be amplified when moving production to more exposed locations. There is, however, a strong Norwegian industrial interest in utilizing such areas. A new research center, the Exposed Aquaculture Operations center has been initialized to develop competence and technology to address the challenges. Six core research areas are identified that will be crucial to address the challenges with exposed farming, with a focus on the industrial status in Norway. Four areas target technological innovations that will enable safe and reliable exposed aquaculture operations: 1) Autonomous systems and technologies for remote operations, 2) Monitoring and operational decision support, 3) Structures for exposed locations and 4) Vessel design for exposed operations. Two areas represent core requirements for sustainable production: 5) Safety and risk management and 6) Fish behavior and welfare. This paper describes the research needs and the research strategy planned for the Exposed Aquaculture Operations center.",,,,,,,,,,,,,,,,,,,,,,,,,,Exposed Aquaculture in Norway,,,,,,,,,,,,,,,,,,,,
"Abstract

While neoliberalism is often framed as a withdrawal of the state, many scholars have noted that what is occurring is not so much a withdrawal, as a repositioning. Although many social services and regulatory functions once provided by government agencies have indeed been eroded, there has been a simultaneous channeling of new resources into other arenas, in an effort to create conditions in which private corporations can operate more profitably. This, however, often places the state in a contradictory position, simultaneously serving as regulator, investor, and development advocate for the private sector. This can become especially problematic in moments of ecological crisis when decisive and unbiased responses are needed. This paper explores these dynamics through an examination of the cycles of growth and crisis that have characterized the aquaculture industry on the south coast of Newfoundland since the late 1970s as well as the ongoing attempts by aquaculture advocates to characterize industrial-scale fish farming as a sustainable industry, despite evidence to the contrary.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overview of Ornamental Species Aquaculture,,,,,,,,,,,,,,,,,,,
"Abstract

While neoliberalism is often framed as a withdrawal of the state, many scholars have noted that what is occurring is not so much a withdrawal, as a repositioning. Although many social services and regulatory functions once provided by government agencies have indeed been eroded, there has been a simultaneous channeling of new resources into other arenas, in an effort to create conditions in which private corporations can operate more profitably. This, however, often places the state in a contradictory position, simultaneously serving as regulator, investor, and development advocate for the private sector. This can become especially problematic in moments of ecological crisis when decisive and unbiased responses are needed. This paper explores these dynamics through an examination of the cycles of growth and crisis that have characterized the aquaculture industry on the south coast of Newfoundland since the late 1970s as well as the ongoing attempts by aquaculture advocates to characterize industrial-scale fish farming as a sustainable industry, despite evidence to the contrary.",,"AbstractAbstractDespite having been practiced in U.S. waters for many decades, marine aquaculture (cultivating seafood in salt or brackish water) is less familiar to many Americans than land-based farming. As aquaculture operations multiply across New England in particular, understanding residents’ awareness of the products and practices, as well as judgment of associated risks and benefits becomes critical to gauging acceptance. The present research considers two complementary, exploratory studies: first, a 15-year content analysis of aquaculture coverage in three regional newspapers and second, focus group discussions with Maine and Massachusetts residents. Content analysis results suggest overall widespread attention to environmental risk, as well as some regional differences in attention to risk/benefit information. Focus group participants generally lack awareness of aquaculture, yet rely on direct and mediated experience, as well as impressions of terrestrial agriculture, to form risk and benefit perceptions. Drawing upon risk and strategic communication, future research is discussed.",,,,,,,,,,Abstract,,,,,,,,,,,,,,,Cultivating Benefit and Risk: Aquaculture Representation and Interpretation in New England,,,,,,,,,,,,,,,,,,,,,,,,
"Abstract

In the 21st century, aquaculture is generally characterized as a foe to conservation efforts. Yet, much has changed in the two seemingly disparate practices over the last two decades, motivating an updated evaluation of the scientific evidence for how aquaculture currently impacts conservation, as well as prospects for further alignment and research. Here we present a new perspective on conservation aquaculture, which we redefine as “the use of human cultivation of an aquatic organism for the planned management and protection of a natural resource.” Looking across scales of conservation aquaculture that include single species to ecosystem level benefits (and limitations), we highlight ways aquaculture has historically, and is currently being integrated into conservation (e.g., habitat restoration of oyster beds) and areas that could be improved for the protection of critical species and habitats (e.g., aquarium trade of coral reef species). With a more strategic focus, there appears to be notable conservation aquaculture potential via the cultivation of species for harvest that could provide wild harvest alleviation through replacement or supplement – particularly for over-exploited species – and/or ecosystem services, such as improved water quality and reduction in greenhouse gas emissions. Given that aquaculture is the fastest growing food industry on the planet, aligning farming practices with conservation objectives is particularly pressing to ensure that growth happens in the service of conservation in the most effective and sustainable way possible. The sheer potential of conservation aquaculture suggests a tale of redemption for aquaculture and opportunity for conservationists to bring in a new age of collaborative practices to address global issues.",,,,,,,,,,,,,,,,,,,,,,,,,Conservation aquaculture: Shifting the narrative and paradigm of aquaculture's role in resource management,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abstract

In the 21st century, aquaculture is generally characterized as a foe to conservation efforts. Yet, much has changed in the two seemingly disparate practices over the last two decades, motivating an updated evaluation of the scientific evidence for how aquaculture currently impacts conservation, as well as prospects for further alignment and research. Here we present a new perspective on conservation aquaculture, which we redefine as “the use of human cultivation of an aquatic organism for the planned management and protection of a natural resource.” Looking across scales of conservation aquaculture that include single species to ecosystem level benefits (and limitations), we highlight ways aquaculture has historically, and is currently being integrated into conservation (e.g., habitat restoration of oyster beds) and areas that could be improved for the protection of critical species and habitats (e.g., aquarium trade of coral reef species). With a more strategic focus, there appears to be notable conservation aquaculture potential via the cultivation of species for harvest that could provide wild harvest alleviation through replacement or supplement – particularly for over-exploited species – and/or ecosystem services, such as improved water quality and reduction in greenhouse gas emissions. Given that aquaculture is the fastest growing food industry on the planet, aligning farming practices with conservation objectives is particularly pressing to ensure that growth happens in the service of conservation in the most effective and sustainable way possible. The sheer potential of conservation aquaculture suggests a tale of redemption for aquaculture and opportunity for conservationists to bring in a new age of collaborative practices to address global issues.",,,,,,"Abstract. This study examined occupational noise within two rearing facilities at a production fish hatchery and evaluated two simple noise reduction techniques. Ambient noise levels in the hatchery tank room ranged from 50 dB in the absence of flowing water to over 73 dB when water was flowing to all 35 tanks under typical hatchery operating procedures. Covering the open standpipes did not significantly reduce noise levels. However, placing partial tank covers over the top of the tanks above the water inlet significantly reduced noise levels, both with and without the use of standpipe covers. Noise levels in the salmon building rose from 43.2 dB without any flowing water to 77.5 dB with water flowing to all six in-ground tanks. Significant noise reductions were observed when the tanks were completely covered or with standpipe covers. Decibel levels showed the greatest reduction when the tanks and standpipes were both covered. These results indicate that occupational noise levels in aquaculture environments may be reduced through the use of simple and relatively inexpensive techniques.",,,,,,,,,,,,,,,,,,,,,,,,,,,Fish Hatchery Noise Levels and Noise Reduction Techniques,,,,,,,,,,,,,,,,,,
"Abstract

In the 21st century, aquaculture is generally characterized as a foe to conservation efforts. Yet, much has changed in the two seemingly disparate practices over the last two decades, motivating an updated evaluation of the scientific evidence for how aquaculture currently impacts conservation, as well as prospects for further alignment and research. Here we present a new perspective on conservation aquaculture, which we redefine as “the use of human cultivation of an aquatic organism for the planned management and protection of a natural resource.” Looking across scales of conservation aquaculture that include single species to ecosystem level benefits (and limitations), we highlight ways aquaculture has historically, and is currently being integrated into conservation (e.g., habitat restoration of oyster beds) and areas that could be improved for the protection of critical species and habitats (e.g., aquarium trade of coral reef species). With a more strategic focus, there appears to be notable conservation aquaculture potential via the cultivation of species for harvest that could provide wild harvest alleviation through replacement or supplement – particularly for over-exploited species – and/or ecosystem services, such as improved water quality and reduction in greenhouse gas emissions. Given that aquaculture is the fastest growing food industry on the planet, aligning farming practices with conservation objectives is particularly pressing to ensure that growth happens in the service of conservation in the most effective and sustainable way possible. The sheer potential of conservation aquaculture suggests a tale of redemption for aquaculture and opportunity for conservationists to bring in a new age of collaborative practices to address global issues.",,,,,,,"Aquaculture production has prospered rapidly since the 1970s and is considered as a part of the rural development program in many countries. The impacts of aquaculture on the rural communities in terms of livelihood and food security are assessed in this paper. Aquaculture contributes to the livelihood of the poor through improved employment and income. Aquaculture creates job opportunities for rural communities, especially for illiterate women to earn side income for the household. With increased financial ability, household manage to reflect stronger purchasing power and have better access to the resources. However, there is a controversy among the researchers whether that aquaculture in rural communities is showing a pro-poor growth due to imbalance in resource distribution. In terms of food security, aquaculture of small indigenous fish in the small farmer system in rural areas provides a high quality of animal protein and essential nutrients, such as vitamin B12, calcium, and potassium. Unfortunate cases like child blindness, infant mortality and non-communicable disease (NCDs) have substantively decreased with the help of rural aquaculture. In Pacific Island Countries and Territories (PICT), locally-canned tuna turned out as an affordable and non-perishable food source for the remote inland residents, helping them to achieve self-sufficiency. However, when aquaculture involves farming of large-sized commercial species, problem of food insecurity resurfaced as these commercial large fish species does not bring same quantity of nutrition as compared to small fishes.",,,,,,,,,,,,,,,,,,,,,,,,,,,Impact of Aquaculture on the Livelihoods and Food Security of Rural Communities,,,,,,,,,,,,,,,,,
"Abstract

In the 21st century, aquaculture is generally characterized as a foe to conservation efforts. Yet, much has changed in the two seemingly disparate practices over the last two decades, motivating an updated evaluation of the scientific evidence for how aquaculture currently impacts conservation, as well as prospects for further alignment and research. Here we present a new perspective on conservation aquaculture, which we redefine as “the use of human cultivation of an aquatic organism for the planned management and protection of a natural resource.” Looking across scales of conservation aquaculture that include single species to ecosystem level benefits (and limitations), we highlight ways aquaculture has historically, and is currently being integrated into conservation (e.g., habitat restoration of oyster beds) and areas that could be improved for the protection of critical species and habitats (e.g., aquarium trade of coral reef species). With a more strategic focus, there appears to be notable conservation aquaculture potential via the cultivation of species for harvest that could provide wild harvest alleviation through replacement or supplement – particularly for over-exploited species – and/or ecosystem services, such as improved water quality and reduction in greenhouse gas emissions. Given that aquaculture is the fastest growing food industry on the planet, aligning farming practices with conservation objectives is particularly pressing to ensure that growth happens in the service of conservation in the most effective and sustainable way possible. The sheer potential of conservation aquaculture suggests a tale of redemption for aquaculture and opportunity for conservationists to bring in a new age of collaborative practices to address global issues.",,"ABSTRACTABSTRACTGovernment regulatory policies and social acceptance are critically important to the growth of marine aquaculture in the United States. In much of the country, opposition to marine aquaculture by local and national interest groups and local, state, tribal, or national policies have limited marine aquaculture to a scale far below its potential. There are several reason for this: (1) Marine aquaculture is relatively small, diverse, and (with some notable exceptions) unproven; (2) marine waters are public resources; (3) some Americans perceive potential negative effects of marine aquaculture without offsetting positive effects; (4) aquaculture faces significant social opposition; and (5) the governance system for leasing and regulation hinders the development of U.S. marine aquaculture. This article discusses five broad strategies and recent efforts to advance marine aquaculture in the United States: (1) fixing problems, (2) creating benefits, (3) building partnerships, (4) arguing effectively, and (5) reforming governance.",,,,,,,,,,ABSTRACT,,,,,,,,,,,,,,,The Political Economics of Marine Aquaculture in the United States,,,,,,,,,,,,,,,,,,,,,,,,
,"
      Abstract
      
         
         This review focuses on the current status of antibiotics use, effects on animal health and the environment, existing policies and regulatory mechanisms in the top 15 producing countries. Fifty papers were reviewed and represented the bulk of literature worldwide. We observed that 67 antibiotic compounds were used in 11 of the 15 countries between 2008 and 2018. Among these countries, 73% applied oxytetracycline, sulphadiazine and florfenicol. On average, countries used 15 antibiotics and the top users included Vietnam (39), China (33) and Bangladesh (21). On environmental and health risks, the review revealed sufficient evidence that directly links antibiotics use to food safety, occupational health hazards and antimicrobial resistance. Environmental risks included residue accumulation, aquatic biodiversity toxicity, microbial community selection for antibiotic resistance and the emergence of multi‐antibacterial resistant strains. Regarding policies, major players were the European Commission, the Food and Drug Administration, European Medicines Agency, Norwegian Veterinary Institute, the Norwegian Food Safety Authority, Codex and government ministries. In particular, the Norwegian Food Safety Authority and Norwegian Veterinary Institute demonstrated the most outstanding regulation mechanisms of antibiotics use in aquaculture that needs to be emulated. The future of aquaculture lies in guaranteeing the supply of safe aquatic products to the growing consumer market. Thus, international coordination of the policy and regulatory environment is needed, while increased investment in research for alternative aquatic health management strategies is essential. Future technologies should focus on the reduction of antibiotics use to safeguard the environment and ensure safety of consumers, feed industry and aquaculture workers.
         
      
   ",,,,,,,,,,,,,,,,,,,,,,,,,"Antibiotic use in aquaculture, policies and regulation, health and environmental risks: a review of the top 15 major producers",,,,,,,,,,,,,"Antibiotic use in aquaculture, policies and regulation, health and environmental risks: a review of the top 15 major producers",,,,,,,,,,,,
